id,dataHora,timeA,timeB,placar,Alan,Fernanda,Jorge,Lia,Raquel,Sueli
1,2026-06-11T16:00:00,México,África do Sul,2-0,2-1,2-0,1-0,2-1,2-0,1-0
2,2026-06-11T23:00:00,Coreia do Sul,República Tcheca,2-1,2-1,2-1,1-1,1-1,2-3,2-1
3,2026-06-12T16:00:00,Canadá,Bósnia,1-1,1-1,0-2,1-0,1-0,0-2,1-1
4,2026-06-12T22:00:00,Estados Unidos,Paraguai,4-1,2-2,0-1,2-1,2-1,1-2,1-2
5,2026-06-13T16:00:00,Catar,Suíça,1-1,0-3,0-3,0-2,0-2,1-2,1-2
6,2026-06-13T19:00:00,Brasil,Marrocos,1-1,2-1,2-1,1-1,2-1,3-0,2-1
7,2026-06-13T22:00:00,Haiti,Escócia,0-1,1-2,0-2,0-2,0-3,0-4,1-2
8,2026-06-14T01:00:00,Austrália,Turquia,2-0,0-2,1-2,1-3,1-1,0-2,2-2
9,2026-06-14T14:00:00,Alemanha,Curaçao,7-1,4-0,3-1,3-0,4-0,4-0,3-0
10,2026-06-14T17:00:00,Holanda,Japão,2-2,2-2,0-2,2-2,2-1,1-1,1-3
11,2026-06-14T20:00:00,Costa do Marfim,Equador,1-0,2-1,1-1,2-1,1-1,1-2,2-3
12,2026-06-14T23:00:00,Suécia,Tunísia,5-1,1-0,1-1,1-0,2-0,2-0,1-0
13,2026-06-15T13:00:00,Espanha,Cabo Verde,0-0,4-0,4-0,4-0,3-0,4-0,2-1
14,2026-06-15T16:00:00,Bélgica,Egito,1-1,3-1,2-0,2-0,2-1,2-1,2-0
15,2026-06-15T19:00:00,Arábia Saudita,Uruguai,1-1,1-3,0-2,1-2,0-2,1-2,1-2
16,2026-06-15T22:00:00,Irã,Nova Zelândia,2-2,1-1,1-1,1-0,1-0,0-1,1-0
17,2026-06-16T16:00:00,França,Senegal,3-1,2-0,3-1,1-1,2-1,3-2,3-0
18,2026-06-16T19:00:00,Iraque,Noruega,1-4,1-3,1-2,0-2,0-2,0-2,1-2
19,2026-06-16T22:00:00,Argentina,Argélia,3-0,2-1,2-1,1-1,3-1,2-0,3-0
20,2026-06-17T01:00:00,Áustria,Jordânia,3-1,3-1,1-0,2-0,3-1,0-0,3-0
21,2026-06-17T14:00:00,Portugal,Congo,1-1,3-0,2-1,3-0,2-0,3-0,3-0
22,2026-06-17T17:00:00,Inglaterra,Croácia,4-2,2-1,1-2,2-2,2-2,2-1,2-1
23,2026-06-17T20:00:00,Gana,Panamá,1-0,1-1,1-1,2-0,0-0,2-2,1-2
24,2026-06-17T23:00:00,Uzbequistão,Colômbia,1-3,1-3,0-2,0-3,0-1,1-2,1-3
25,2026-06-18T13:00:00,República Tcheca,África do Sul,1-1,0-0,3-1,3-1,1-0,2-1,1-0
26,2026-06-18T16:00:00,Suíça,Bósnia,4-1,2-0,2-1,2-2,2-0,2-1,1-1
27,2026-06-18T19:00:00,Canadá,Catar,6-0,2-0,1-1,3-1,2-1,1-1,3-0
28,2026-06-18T22:00:00,México,Coreia do Sul,1-0,2-1,2-3,2-0,2-1,2-3,2-2
29,2026-06-19T16:00:00,Estados Unidos,Austrália,2-0,2-1,2-1,2-0,2-1,2-0,3-2
30,2026-06-19T19:00:00,Escócia,Marrocos,0-1,0-1,0-2,0-2,1-1,1-3,1-3
31,2026-06-19T22:00:00,Brasil,Haiti,3-0,4-0,3-1,4-0,3-0,3-0,1-0
32,2026-06-20T01:00:00,Turquia,Paraguai,0-1,3-0,2-0,2-1,1-0,1-1,2-1
33,2026-06-20T14:00:00,Holanda,Suécia,5-1,3-1,3-1,2-2,2-1,3-2,2-1
34,2026-06-20T17:00:00,Alemanha,Costa do Marfim,2-1,2-1,4-0,1-1,3-1,4-1,2-1
35,2026-06-20T21:00:00,Equador,Curaçao,0-0,2-1,2-0,2-0,3-0,3-0,3-1
36,2026-06-21T01:00:00,Tunísia,Japão,0-4,0-2,1-2,0-2,1-2,0-2,0-3
37,2026-06-21T13:00:00,Espanha,Arábia Saudita,4-0,3-1,2-1,2-0,2-0,2-0,3-0
38,2026-06-21T16:00:00,Bélgica,Irã,0-0,1-0,2-0,1-0,3-1,2-1,2-1
